corpus_order,paper_id,inspire_id,year,title,authors,document_type,arxiv_ids,dois,report_numbers,inspire_url,pilot_included,pilot_order,pilot_series,full_text_status,local_pdf_path,local_pdf_relative_path,local_pdf_filename,local_pdf_bytes,local_pdf_pages,sha256,source_manifest_sha256,hash_verification,pdf_source,pdf_source_url,alternate_local_artifact_count,alternate_local_artifact_paths,multiple_arxiv_artifacts,duplicate_record_of,record_flags,retrieval_errors
167,hep-ph/0012301,539116,2000,"The Superspace WZNW action for 4-D, N=1 supersymmetric QCD","Gates, S.James, Jr. | Grisaru, Marcus T. | Knutt, Marcia E. | Penati, Silvia",article,hep-ph/0012301,10.1016/S0370-2693(01)00210-6,BICOCCA-FT-00-26 | BRX-TH-485 | MCGILL-00-34 | UMDEPP-00-144 | UNIV.-OF-MD-PREPRINT-UMDEPP-00--144,https://inspirehep.net/literature/539116,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2000_hep-ph_0012301_The_Superspace_WZNW_action_for_4_D_N_1_supersymmetric_QCD.pdf,pdfs/2000_hep-ph_0012301_The_Superspace_WZNW_action_for_4_D_N_1_supersymmetric_QCD.pdf,2000_hep-ph_0012301_The_Superspace_WZNW_action_for_4_D_N_1_supersymmetric_QCD.pdf,110077,7,3891c3f9dcd1233e751d2e8e0a27651da60b0858eb3fc939bf83c2f38fd69f0b,3891c3f9dcd1233e751d2e8e0a27651da60b0858eb3fc939bf83c2f38fd69f0b,matched,arXiv,https://arxiv.org/pdf/hep-ph/0012301,0,,false,,,
168,hep-th/0005120,527220,2000,Two two-dimensional supergravity theories from Calabi-Yau four folds,"Gates, S.James, Jr. | Gukov, Sergei | Witten, Edward",article,hep-th/0005120,10.1016/S0550-3213(00)00374-6,CALT-68-2258 | CITUSC-00-005 | PUPT-1904 | UMDEPP-00-046,https://inspirehep.net/literature/527220,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2000_hep-th_0005120_Two_two_dimensional_supergravity_theories_from_Calabi_Yau_four_folds.pdf,pdfs/2000_hep-th_0005120_Two_two_dimensional_supergravity_theories_from_Calabi_Yau_four_folds.pdf,2000_hep-th_0005120_Two_two_dimensional_supergravity_theories_from_Calabi_Yau_four_folds.pdf,412700,47,ebf263a85e3fe72cc56c0a5c1daf2627d8ea03403f89cf1aa13e458df8adf026,ebf263a85e3fe72cc56c0a5c1daf2627d8ea03403f89cf1aa13e458df8adf026,matched,arXiv,https://arxiv.org/pdf/hep-th/0005120,0,,false,,,
169,hep-th/0008206,532505,2000,"Will the real 4-D, N=1 SG limit of superstring / M theory please stand up?","Gates, S.James, Jr. | Nishino, Hitoshi",article,hep-th/0008206,10.1016/S0370-2693(00)01073-X,UMDEPP-00-086,https://inspirehep.net/literature/532505,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2000_hep-th_0008206_Will_the_real_4_D_N_1_SG_limit_of_superstring_M_theory_please_stand_up.pdf,pdfs/2000_hep-th_0008206_Will_the_real_4_D_N_1_SG_limit_of_superstring_M_theory_please_stand_up.pdf,2000_hep-th_0008206_Will_the_real_4_D_N_1_SG_limit_of_superstring_M_theory_please_stand_up.pdf,159065,12,5bc52d676222d3a7d23eab052a731e7119467c9da2b83c815024fa3b92e58bfe,5bc52d676222d3a7d23eab052a731e7119467c9da2b83c815024fa3b92e58bfe,matched,arXiv,https://arxiv.org/pdf/hep-th/0008206,0,,false,,,
170,hep-th/0104223,555874,2001,"4-D, N=1 Born-Infeld supergravity","Gates, S.James, Jr. | Ketov, Sergei V.",article,hep-th/0104223,10.1088/0264-9381/18/17/310,UMDEPP-01-051 | KL-TH-01-03,https://inspirehep.net/literature/555874,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2001_hep-th_0104223_4_D_N_1_Born_Infeld_supergravity.pdf,pdfs/2001_hep-th_0104223_4_D_N_1_Born_Infeld_supergravity.pdf,2001_hep-th_0104223_4_D_N_1_Born_Infeld_supergravity.pdf,161697,15,7dbd88b101af93db8f519399615fa832ee005ccd5281a8762b3eef78b3163bd3,7dbd88b101af93db8f519399615fa832ee005ccd5281a8762b3eef78b3163bd3,matched,arXiv,https://arxiv.org/pdf/hep-th/0104223,0,,false,,,
171,hep-th/0101037,551915,2001,Deliberations on 11-D superspace for the M-theory effective action,"Gates, S. James, Jr. | Nishino, Hitoshi",article,hep-th/0101037,10.1016/S0370-2693(01)00487-7,UMDEPP-00-32 | UMDEPP-00-032,https://inspirehep.net/literature/551915,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2001_hep-th_0101037_Deliberations_on_11_D_superspace_for_the_M_theory_effective_action.pdf,pdfs/2001_hep-th_0101037_Deliberations_on_11_D_superspace_for_the_M_theory_effective_action.pdf,2001_hep-th_0101037_Deliberations_on_11_D_superspace_for_the_M_theory_effective_action.pdf,208281,16,3d40a1b32fa4491dee56b3e99802172d2c5039b2de198b987ce121a1bbb15cc3,3d40a1b32fa4491dee56b3e99802172d2c5039b2de198b987ce121a1bbb15cc3,matched,arXiv,https://arxiv.org/pdf/hep-th/0101037,0,,false,,,
172,hep-th/0106150,558607,2001,Superconformal symmetry in 11-D superspace and the M theory effective action,"Gates, S.James, Jr.",article,hep-th/0106150,10.1016/S0550-3213(01)00421-7,UMDEPP-01-058,https://inspirehep.net/literature/558607,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2001_hep-th_0106150_Superconformal_symmetry_in_11_D_superspace_and_the_M_theory_effective_action.pdf,pdfs/2001_hep-th_0106150_Superconformal_symmetry_in_11_D_superspace_and_the_M_theory_effective_action.pdf,2001_hep-th_0106150_Superconformal_symmetry_in_11_D_superspace_and_the_M_theory_effective_action.pdf,237725,26,3980c4ac194839d08277c3aae38aca3900573f26790b639e3447c08a09f54910,3980c4ac194839d08277c3aae38aca3900573f26790b639e3447c08a09f54910,matched,arXiv,https://arxiv.org/pdf/hep-th/0106150,0,,false,,,
173,hep-th/0105161,556791,2001,Supergravitons interacting with the superVirasoro group,"Gates, S.James, Jr. | Rodgers, V.G.J.",article,hep-th/0105161,10.1016/S0370-2693(01)00701-8,UMDEPP-01-000,https://inspirehep.net/literature/556791,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2001_hep-th_0105161_Supergravitons_interacting_with_the_superVirasoro_group.pdf,pdfs/2001_hep-th_0105161_Supergravitons_interacting_with_the_superVirasoro_group.pdf,2001_hep-th_0105161_Supergravitons_interacting_with_the_superVirasoro_group.pdf,145369,12,951986edede66ef063a64c7c0940470adb8150f301324cdc8ba04317320641b0,951986edede66ef063a64c7c0940470adb8150f301324cdc8ba04317320641b0,matched,arXiv,https://arxiv.org/pdf/hep-th/0105161,0,,false,,,
174,inspire:1489482,1489482,2001,Superstrings: Why Einstein Would Love Spaghetti in Fundamental Physics,"Gates, S. James",conference paper,,10.1142/9789812810175_0021,,https://inspirehep.net/literature/1489482,false,,,metadata_only,,,,,,,,,,,0,,false,,,World Scientific publisher: HTTP 403 | DOI content negotiation: HTTP 403
175,hep-th/0107155,560325,2001,Teleparallel superspace in eleven-dimensions coupled to supermembranes,"Gates, S. James, Jr. | Nishino, Hitoshi | Rajpoot, Subhash",article,hep-th/0107155,10.1103/PhysRevD.65.024013,CSULB-PA-01-2,https://inspirehep.net/literature/560325,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2001_hep-th_0107155_Teleparallel_superspace_in_eleven_dimensions_coupled_to_supermembranes.pdf,pdfs/2001_hep-th_0107155_Teleparallel_superspace_in_eleven_dimensions_coupled_to_supermembranes.pdf,2001_hep-th_0107155_Teleparallel_superspace_in_eleven_dimensions_coupled_to_supermembranes.pdf,151066,14,71ccd43c2dea3df8fb9708c016595463cca2674bccad1872c955fc2c8647f25e,71ccd43c2dea3df8fb9708c016595463cca2674bccad1872c955fc2c8647f25e,matched,arXiv,https://arxiv.org/pdf/hep-th/0107155,0,,false,,,
176,hep-th/0109109,562720,2001,The Fundamental supersymmetry challenge remains,"Gates, S.James, Jr. | Linch, William Divine, III | Phillips, J. | Rana, L.",article,hep-th/0109109,,UMDEPP-02-009,https://inspirehep.net/literature/562720,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2001_hep-th_0109109_The_Fundamental_supersymmetry_challenge_remains.pdf,pdfs/2001_hep-th_0109109_The_Fundamental_supersymmetry_challenge_remains.pdf,2001_hep-th_0109109_The_Fundamental_supersymmetry_challenge_remains.pdf,123490,13,3e0672558774aff8e26118564214645dbeb7175b9c7863732c3d86c65e0cb2d9,3e0672558774aff8e26118564214645dbeb7175b9c7863732c3d86c65e0cb2d9,matched,arXiv,https://arxiv.org/pdf/hep-th/0109109,0,,false,,,
